"reportedZipCode","totalclaims"
"10004",6
"10005",2
"10006",3
"10009",7
"10011",12
"10013",19
"10014",6
"10017",6
"10038",9
"10041",1
"10128",8
"10301",3
"10302",2
"10303",1
"10304",3
"10305",106
"10306",219
"10307",12
"10308",22
"10309",2
"10310",3
"10312",7
"10451",1
"10464",8
"10465",26
"10473",3
"10475",8
"11004",2
"11101",4
"11102",5
"11201",7
"11210",1
"11214",6
"11215",2
"11222",5
"11223",1
"11224",95
"11229",42
"11231",23
"11232",3
"11234",26
"11235",138
"11236",22
"11249",2
"11354",4
"11356",1
"11363",3
"11364",1
"11413",1
"11414",105
"11422",16
"11436",1
"11559",2
"11691",162
"11692",109
"11693",70
"11694",172
"11697",92
